Date,Team,Location
20250522,BOS,BOS07
20250523,BOS,BOS07
20250524,BOS,BOS07
20250525,BOS,BOS07
20250606,BOS,BOS07
20250607,BOS,BOS07
20250608,BOS,BOS07
20250609,BOS,BOS07
20250610,BOS,BOS07
20250611,BOS,BOS07
20250613,BOS,BOS07
20250614,BOS,BOS07
20250615,BOS,BOS07
20250616,BOS,BOS07
20250617,BOS,BOS07
20250618,BOS,BOS07
20250619,BOS,BOS07
20250620,BOS,BOS07
20250621,BOS,BOS07
20250622,BOS,BOS07
20250627,BOS,BOS07
20250628,BOS,BOS07
20250629,BOS,BOS07
20250630,BOS,BOS07
20250701,BOS,BOS07
20250702,BOS,BOS07
20250703,BOS,BOS07
20250710,BOS,NYC21
20250711,BOS,NYC21
20250712,BOS,NYC21
20250713,BOS,NYC21
20250718,BOS,NYC21
20250719,BOS,NYC21
20250720,BOS,NYC21
20250721,BOS,NYC21
20250722,BOS,NYC21
20250723,BOS,NYC21
20250728,BOS,NYC21
20250729,BOS,NYC21
20250730,BOS,NYC21
20250731,BOS,NYC21
20250818,BOS,NYC21
20250819,BOS,BOS07
20250820,BOS,BOS07
20250821,BOS,BOS07
20250822,BOS,BOS07
20250823,BOS,BOS07
20250824,BOS,BOS07
20250825,BOS,BOS07
20250826,BOS,BOS07
20250827,BOS,BOS07
20250828,BOS,BOS07
20250905,BOS,BOS07
20250906,BOS,BOS07
20250907,BOS,BOS07
20250912,BOS,BOS07
20250913,BOS,NYC21
20250914,BOS,NYC21
20250915,BOS,NYC21
20250916,BOS,NYC21
20250917,BOS,BAL12
20250918,BOS,BAL12
20250919,BOS,TAM02
20250920,BOS,TAM02
20250921,BOS,TAM02
20250923,BOS,TAM02
20250924,BOS,TAM02
20250925,BOS,TAM02
20250926,BOS,TAM02
20250927,BOS,TAM02
20250928,BOS,TAM02
20250327,NYA,TOR02
20250328,NYA,TOR02
20250329,NYA,TOR02
20250330,NYA,TOR02
20250331,NYA,TOR02
20250402,NYA,TOR02
20250403,NYA,TOR02
20250407,NYA,TOR02
20250408,NYA,TOR02
20250409,NYA,TOR02
20250410,NYA,TOR02
20250411,NYA,TOR02
20250412,NYA,TOR02
20250413,NYA,TOR02
20250414,NYA,TOR02
20250415,NYA,TOR02
20250416,NYA,TOR02
20250417,NYA,TOR02
20250418,NYA,TOR02
20250419,NYA,TOR02
20250420,NYA,TOR02
20250425,NYA,TOR02
20250426,NYA,TOR02
20250427,NYA,TOR02
20250428,NYA,TOR02
20250429,NYA,TOR02
20250430,NYA,TOR02
20250501,NYA,TOR02
20250502,NYA,BAL12
20250503,NYA,BAL12
20250504,NYA,BAL12
20250513,NYA,BAL12
20250514,NYA,BAL12
20250515,NYA,BAL12
20250522,NYA,BOS07
20250523,NYA,BOS07
20250524,NYA,BOS07
20250525,NYA,BOS07
20250606,NYA,BOS07
20250607,NYA,BOS07
20250608,NYA,BOS07
20250609,NYA,BOS07
20250610,NYA,BOS07
20250611,NYA,BOS07
20250613,NYA,BOS07
20250614,NYA,BOS07
20250615,NYA,BOS07
20250616,NYA,BOS07
20250617,NYA,NYC21
20250618,NYA,NYC21
20250619,NYA,NYC21
20250620,NYA,NYC21
20250621,NYA,NYC21
20250622,NYA,NYC21
20250627,NYA,NYC21
20250628,NYA,NYC21
20250629,NYA,NYC21
20250630,NYA,NYC21
20250701,NYA,NYC21
20250702,NYA,NYC21
20250703,NYA,NYC21
20250710,NYA,NYC21
20250711,NYA,NYC21
20250712,NYA,NYC21
20250713,NYA,NYC21
20250718,NYA,NYC21
20250719,NYA,NYC21
20250720,NYA,NYC21
20250721,NYA,NYC21
20250722,NYA,NYC21
20250723,NYA,NYC21
20250728,NYA,NYC21
20250729,NYA,NYC21
20250730,NYA,NYC21
20250731,NYA,NYC21
20250818,NYA,NYC21
20250819,NYA,NYC21
20250820,NYA,BAL12
20250821,NYA,BAL12
20250822,NYA,TAM02
20250823,NYA,TAM02
20250824,NYA,TAM02
20250825,NYA,TAM02
20250826,NYA,TAM02
20250827,NYA,TAM02
20250828,NYA,TAM02
